epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,729.673,0.61554,0.96641,0.65902,0.9274,0.83944,0.57749,0.67981,0.5382,0.80322,0.55379,0.63916,0.43688,0.68881,1.20404,1.61738,1.04293,0.00991805,0.00991805,0.00991805
31,753.048,0.60626,0.93678,0.6457,0.92135,0.90137,0.65967,0.76246,0.60693,0.87315,0.62639,0.71151,0.47207,0.58288,1.27408,1.61723,0.96714,0.00991232,0.00991232,0.00991232
32,776.374,0.59976,0.93628,0.63944,0.92329,0.85434,0.68633,0.73435,0.57671,0.83746,0.64895,0.70887,0.47954,0.65771,1.16317,1.51045,1.01943,0.0099064,0.0099064,0.0099064
33,800.258,0.59494,0.91259,0.62561,0.92206,0.82325,0.69202,0.78861,0.62907,0.8123,0.66995,0.76855,0.52456,0.57581,1.0248,1.3604,0.9713,0.00990028,0.00990028,0.00990028
34,823.508,0.59147,0.9346,0.62999,0.921,0.86135,0.6224,0.74477,0.57555,0.81951,0.56728,0.66721,0.46746,0.59079,1.14288,1.63283,0.96024,0.00989398,0.00989398,0.00989398
35,846.742,0.59299,0.92383,0.62598,0.9158,0.78425,0.70203,0.72232,0.57714,0.76386,0.62817,0.69525,0.50135,0.58473,1.06317,1.42017,0.98314,0.00988748,0.00988748,0.00988748
36,870.245,0.58415,0.89945,0.62413,0.915,0.88043,0.54866,0.71378,0.576,0.75744,0.56522,0.62095,0.45061,0.58927,1.18499,1.51357,0.97626,0.00988079,0.00988079,0.00988079
37,893.375,0.58754,0.90114,0.59746,0.91553,0.82206,0.67883,0.77061,0.61217,0.78639,0.633,0.73351,0.5186,0.61314,1.03489,1.51392,0.99632,0.00987391,0.00987391,0.00987391
38,916.829,0.57854,0.89911,0.60268,0.91484,0.83299,0.71288,0.77437,0.60232,0.77658,0.61406,0.70706,0.504,0.62211,1.13295,1.42729,0.99581,0.00986684,0.00986684,0.00986684
39,940.105,0.58167,0.89957,0.59575,0.91522,0.84289,0.66541,0.7705,0.60269,0.78776,0.61675,0.70326,0.49097,0.60873,1.07059,1.49919,0.98975,0.00985958,0.00985958,0.00985958
40,963.02,0.57743,0.88162,0.58231,0.91306,0.86032,0.66482,0.76523,0.62677,0.84452,0.6301,0.73384,0.50482,0.61201,1.08434,1.49692,1.00773,0.00985213,0.00985213,0.00985213
41,984.819,0.56801,0.87281,0.57603,0.90701,0.84433,0.71864,0.78415,0.61323,0.82153,0.67743,0.75559,0.51955,0.60513,1.10177,1.49368,0.98105,0.00984449,0.00984449,0.00984449
42,1008.6,0.58241,0.92433,0.59029,0.9145,0.88202,0.67152,0.7859,0.60145,0.8489,0.61145,0.73805,0.50871,0.6033,1.06556,1.55658,0.98529,0.00983666,0.00983666,0.00983666
43,1031.77,0.56735,0.8793,0.56893,0.91237,0.86433,0.68349,0.79278,0.6206,0.83047,0.63353,0.74435,0.51759,0.62572,1.09759,1.44332,1.01307,0.00982864,0.00982864,0.00982864
44,1054.94,0.56463,0.85594,0.57505,0.90815,0.78628,0.71224,0.7839,0.6112,0.74141,0.64229,0.7121,0.48621,0.62464,1.21987,1.568,1.0055,0.00982043,0.00982043,0.00982043
45,1077.85,0.5631,0.86599,0.56892,0.90832,0.85271,0.67253,0.797,0.61369,0.73614,0.64165,0.69696,0.49889,0.58912,1.10933,1.52805,0.96729,0.00981204,0.00981204,0.00981204
46,1101.07,0.56791,0.87369,0.55177,0.9084,0.86927,0.67111,0.80055,0.6365,0.81154,0.70173,0.78309,0.52151,0.60056,1.03381,1.41766,0.99147,0.00980345,0.00980345,0.00980345
47,1124.29,0.55722,0.86659,0.55937,0.90398,0.78758,0.73772,0.82074,0.65194,0.8018,0.72078,0.81297,0.5635,0.60326,1.02721,1.46406,0.98217,0.00979468,0.00979468,0.00979468
48,1147.84,0.56024,0.88052,0.55421,0.90556,0.79853,0.71506,0.8127,0.64842,0.82233,0.66926,0.77823,0.53343,0.58197,0.9652,1.39172,0.9833,0.00978572,0.00978572,0.00978572
49,1170.62,0.55593,0.867,0.54667,0.90206,0.86547,0.67395,0.74387,0.58808,0.86816,0.67054,0.73866,0.50226,0.56123,1.02187,1.57249,0.95515,0.00977658,0.00977658,0.00977658
50,1193.97,0.55432,0.83355,0.53373,0.9051,0.88018,0.69576,0.79031,0.63921,0.84644,0.64985,0.74158,0.51377,0.58564,1.06203,1.4184,0.97233,0.00976725,0.00976725,0.00976725
51,1217.12,0.54706,0.83888,0.53967,0.9002,0.82398,0.71152,0.80927,0.65273,0.85818,0.64114,0.78796,0.5221,0.59428,1.02442,1.42557,0.99343,0.00975773,0.00975773,0.00975773
52,1239.62,0.54512,0.84014,0.53193,0.90041,0.77607,0.73931,0.7718,0.64021,0.71132,0.65359,0.66992,0.49057,0.57691,1.05475,1.41793,0.97985,0.00974803,0.00974803,0.00974803
