epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,566.565,0.83108,1.01649,1.12376,0.8446,0.77605,0.84479,0.70375,0.70145,0.87482,1.05279,0.00983666,0.00983666,0.00983666
43,580.092,0.82048,0.99447,1.14716,0.87015,0.75459,0.84369,0.70202,0.71264,0.83109,1.0694,0.00982864,0.00982864,0.00982864
44,593.589,0.78602,0.96699,1.11729,0.84809,0.8212,0.87387,0.72354,0.68291,0.78082,1.02361,0.00982043,0.00982043,0.00982043
45,606.928,0.81608,0.95454,1.11891,0.85314,0.83076,0.8867,0.74022,0.67607,0.75897,1.02815,0.00981204,0.00981204,0.00981204
46,620.091,0.80366,0.95982,1.12238,0.87944,0.82595,0.88453,0.73819,0.67885,0.76867,1.0271,0.00980345,0.00980345,0.00980345
47,632.963,0.81958,0.98679,1.13429,0.88138,0.81688,0.88136,0.74249,0.67022,0.7294,1.01874,0.00979468,0.00979468,0.00979468
48,645.912,0.82174,0.98399,1.12995,0.88028,0.81537,0.88775,0.74258,0.68415,0.7673,1.03778,0.00978572,0.00978572,0.00978572
49,659.082,0.78761,0.93788,1.1139,0.89445,0.79945,0.88784,0.73837,0.68311,0.75437,1.01041,0.00977658,0.00977658,0.00977658
50,672.14,0.81537,0.96647,1.12676,0.8627,0.82857,0.89942,0.76674,0.64088,0.68042,1.00314,0.00976725,0.00976725,0.00976725
51,685.389,0.78381,0.92419,1.10069,0.87789,0.83144,0.88338,0.74557,0.65608,0.72862,0.99958,0.00975773,0.00975773,0.00975773
52,698.735,0.7604,0.88749,1.08645,0.87513,0.81639,0.87715,0.73982,0.65584,0.74969,1.01801,0.00974803,0.00974803,0.00974803
53,712.158,0.79801,0.92031,1.12674,0.91214,0.84322,0.89737,0.76926,0.64567,0.67387,0.9959,0.00973814,0.00973814,0.00973814
