track_id,X_x,X_y,X_z,mean_err,num_obs,used_obs
0,-0.4521079099828611,-0.27721469898001305,0.4360579559586388,0.014032490292935873,59,5
-1,-0.4630539862945934,-0.2700907187971572,0.4968223922106632,0.015572167407941206,18,5
3,-0.3600439253379167,0.02264643448372744,0.13988802286519822,0.006535061636777304,24,24
-2,-0.4830992646591233,-0.3913161266470231,0.6292807223566644,0.01699028629224554,4,4
8,-0.4699767533160538,-0.3576997228676314,0.47639841781462056,0.004083268545103918,5,5
12,-0.3656653047377692,-0.31401800956926523,-0.06425796681470038,0.00026969329790971886,45,45
15,-0.08401902158967327,0.014479298468321453,0.0806418998245779,0.0021412259793781308,3,3
//16,-0.35599435613987596,0.4236023362560593,-0.025952171424556813,0.010969779779438022,177,116
17,-0.4159372749332849,-0.09049165820016056,0.19566246950395824,0.004752016426368623,5,5
18,-0.34922681832161534,-0.06999952443792445,0.08031463644035071,0.0011286679708164757,96,96
//19,-0.37235767386459767,0.06823783841002685,0.03939802195923434,0.004338588588085975,175,175
20,0.07218530705946591,0.15651685803176651,-0.09737094244021274,0.00387173744517187,26,26
26,-0.27595000870971464,0.34315007031753364,0.13716032851079582,0.0008037462579479486,3,3
28,-0.31014660016053547,0.9386088130520223,-0.45744958932236396,0.0008044565829454983,5,5
33,-0.3993839132015446,0.4185092405573646,0.11616700622733217,0.0010122645834238237,4,4
36,-0.36636042643251643,-0.05066393094597205,-0.017829036011231945,0.0006284095474190563,74,74
37,-0.5836239491756064,-0.07118759892393,0.16258776039319023,0.008710836781934593,48,48
