timestamp,cam_x,cam_y,cam_z,cam_rx,cam_ry,cam_rz,cam_rw
1760625100.798710,0.345673,0.171292,0.518645,0.702065,-0.712090,0.005769,0.000533
1760625100.932136,0.345669,0.171286,0.518653,0.702065,-0.712089,0.005777,0.000532
1760625100.998850,0.345680,0.171288,0.518656,0.702064,-0.712091,0.005777,0.000524
1760625100.998850,0.345680,0.171288,0.518656,0.702064,-0.712091,0.005777,0.000524
1760625101.065563,0.345881,0.171256,0.518525,0.702057,-0.712097,0.005735,0.000685
1760625101.065563,0.345881,0.171256,0.518525,0.702057,-0.712097,0.005735,0.000685
1760625101.132277,0.346473,0.171142,0.518389,0.702059,-0.712094,0.005859,0.000969
1760625101.132277,0.346473,0.171142,0.518389,0.702059,-0.712094,0.005859,0.000969
1760625101.198990,0.347437,0.170978,0.518236,0.702039,-0.712111,0.006057,0.001354
1760625101.198990,0.347437,0.170978,0.518236,0.702039,-0.712111,0.006057,0.001354
1760625101.265704,0.348793,0.170697,0.517856,0.701969,-0.712177,0.006254,0.002031
1760625101.265704,0.348793,0.170697,0.517856,0.701969,-0.712177,0.006254,0.002031
1760625101.332417,0.350566,0.170270,0.517307,0.701828,-0.712311,0.006465,0.002925
1760625101.332417,0.350566,0.170270,0.517307,0.701828,-0.712311,0.006465,0.002925
1760625101.399131,0.352674,0.169805,0.516719,0.701690,-0.712439,0.006772,0.003952
1760625101.399131,0.352674,0.169805,0.516719,0.701690,-0.712439,0.006772,0.003952
1760625101.465844,0.355158,0.169279,0.515992,0.701573,-0.712543,0.007111,0.005192
1760625101.465844,0.355158,0.169279,0.515992,0.701573,-0.712543,0.007111,0.005192
1760625101.532557,0.358043,0.168656,0.515143,0.701398,-0.712700,0.007487,0.006604
1760625101.532557,0.358043,0.168656,0.515143,0.701398,-0.712700,0.007487,0.006604
1760625101.599271,0.361296,0.167933,0.514162,0.701198,-0.712875,0.007932,0.008224
1760625101.599271,0.361296,0.167933,0.514162,0.701198,-0.712875,0.007932,0.008224
1760625101.665984,0.364913,0.167145,0.513044,0.701007,-0.713034,0.008417,0.010019
1760625101.665984,0.364913,0.167145,0.513044,0.701007,-0.713034,0.008417,0.010019
1760625101.732697,0.368848,0.166282,0.511844,0.700787,-0.713214,0.009033,0.011931
1760625101.732697,0.368848,0.166282,0.511844,0.700787,-0.713214,0.009033,0.011931
1760625101.799411,0.373215,0.165340,0.510444,0.700548,-0.713402,0.009614,0.014065
1760625101.799411,0.373215,0.165340,0.510444,0.700548,-0.713402,0.009614,0.014065
1760625101.866124,0.377989,0.164295,0.508800,0.700286,-0.713600,0.010207,0.016469
1760625101.866124,0.377989,0.164295,0.508800,0.700286,-0.713600,0.010207,0.016469
1760625101.932837,0.383086,0.163137,0.507100,0.699974,-0.713833,0.010955,0.018946
1760625101.932837,0.383086,0.163137,0.507100,0.699974,-0.713833,0.010955,0.018946
1760625101.999554,0.388557,0.161917,0.505171,0.699674,-0.714038,0.011712,0.021648
1760625101.999554,0.388557,0.161917,0.505171,0.699674,-0.714038,0.011712,0.021648
1760625102.066272,0.394387,0.160621,0.503011,0.699368,-0.714230,0.012482,0.024577
1760625102.066272,0.394387,0.160621,0.503011,0.699368,-0.714230,0.012482,0.024577
1760625102.132989,0.400540,0.159218,0.500709,0.699018,-0.714445,0.013387,0.027626
1760625102.132989,0.400540,0.159218,0.500709,0.699018,-0.714445,0.013387,0.027626
1760625102.199706,0.407131,0.157706,0.498090,0.698638,-0.714665,0.014242,0.030926
1760625102.199706,0.407131,0.157706,0.498090,0.698638,-0.714665,0.014242,0.030926
1760625102.266423,0.414023,0.156121,0.495331,0.698264,-0.714854,0.015247,0.034335
1760625102.266423,0.414023,0.156121,0.495331,0.698264,-0.714854,0.015247,0.034335
1760625102.333140,0.421187,0.154442,0.492288,0.697846,-0.715059,0.016191,0.037929
1760625102.333140,0.421187,0.154442,0.492288,0.697846,-0.715059,0.016191,0.037929
1760625102.399858,0.427997,0.152806,0.489330,0.697442,-0.715241,0.017176,0.041351
1760625102.399858,0.427997,0.152806,0.489330,0.697442,-0.715241,0.017176,0.041351
1760625102.466575,0.434453,0.151283,0.486370,0.697088,-0.715368,0.018036,0.044624
1760625102.466575,0.434453,0.151283,0.486370,0.697088,-0.715368,0.018036,0.044624
1760625102.533293,0.440441,0.149812,0.483562,0.696711,-0.715517,0.018868,0.047669
1760625102.533293,0.440441,0.149812,0.483562,0.696711,-0.715517,0.018868,0.047669
1760625102.600010,0.446087,0.148449,0.480861,0.696382,-0.715622,0.019639,0.050509
1760625102.600010,0.446087,0.148449,0.480861,0.696382,-0.715622,0.019639,0.050509
1760625102.666727,0.451320,0.147193,0.478262,0.696095,-0.715689,0.020352,0.053170
1760625102.666727,0.451320,0.147193,0.478262,0.696095,-0.715689,0.020352,0.053170
1760625102.733445,0.456198,0.145989,0.475806,0.695822,-0.715746,0.021050,0.055655
1760625102.733445,0.456198,0.145989,0.475806,0.695822,-0.715746,0.021050,0.055655
1760625102.800162,0.460732,0.144872,0.473448,0.695557,-0.715799,0.021680,0.057976
1760625102.800162,0.460732,0.144872,0.473448,0.695557,-0.715799,0.021680,0.057976
1760625102.866879,0.464861,0.143830,0.471273,0.695297,-0.715861,0.022260,0.060087
1760625102.866879,0.464861,0.143830,0.471273,0.695297,-0.715861,0.022260,0.060087
1760625102.933597,0.468560,0.142871,0.469290,0.695068,-0.715902,0.022817,0.062002
1760625102.933597,0.468560,0.142871,0.469290,0.695068,-0.715902,0.022817,0.062002
1760625103.000314,0.471989,0.141988,0.467418,0.694852,-0.715941,0.023273,0.063768
1760625103.000314,0.471989,0.141988,0.467418,0.694852,-0.715941,0.023273,0.063768
1760625103.067030,0.475014,0.141218,0.465716,0.694670,-0.715963,0.023677,0.065341
1760625103.067030,0.475014,0.141218,0.465716,0.694670,-0.715963,0.023677,0.065341
1760625103.133747,0.477663,0.140540,0.464222,0.694518,-0.715973,0.024050,0.066709
1760625103.133747,0.477663,0.140540,0.464222,0.694518,-0.715973,0.024050,0.066709
1760625103.200464,0.479947,0.139966,0.462939,0.694382,-0.715984,0.024380,0.067870
1760625103.200464,0.479947,0.139966,0.462939,0.694382,-0.715984,0.024380,0.067870
1760625103.267181,0.481868,0.139496,0.461845,0.694290,-0.715968,0.024671,0.068866
1760625103.267181,0.481868,0.139496,0.461845,0.694290,-0.715968,0.024671,0.068866
1760625103.333897,0.483443,0.139106,0.460899,0.694212,-0.715955,0.024869,0.069716
1760625103.333897,0.483443,0.139106,0.460899,0.694212,-0.715955,0.024869,0.069716
1760625103.400614,0.484666,0.138755,0.460211,0.694105,-0.715993,0.025037,0.070326
1760625103.400614,0.484666,0.138755,0.460211,0.694105,-0.715993,0.025037,0.070326
1760625103.467331,0.485529,0.138501,0.459646,0.694035,-0.716010,0.025113,0.070815
1760625103.467331,0.485529,0.138501,0.459646,0.694035,-0.716010,0.025113,0.070815
1760625103.534048,0.486004,0.138386,0.459256,0.694006,-0.716006,0.025102,0.071139
1760625103.534048,0.486004,0.138386,0.459256,0.694006,-0.716006,0.025102,0.071139
1760625103.600765,0.486109,0.138356,0.459227,0.694008,-0.715998,0.025183,0.071169
1760625103.600765,0.486109,0.138356,0.459227,0.694008,-0.715998,0.025183,0.071169
1760625103.667482,0.486116,0.138342,0.459274,0.693996,-0.716011,0.025230,0.071142
1760625103.667482,0.486116,0.138342,0.459274,0.693996,-0.716011,0.025230,0.071142
1760625103.734199,0.486135,0.138337,0.459359,0.693992,-0.716018,0.025289,0.071090
1760625103.734199,0.486135,0.138337,0.459359,0.693992,-0.716018,0.025289,0.071090
1760625103.800915,0.486150,0.138340,0.459352,0.693999,-0.716012,0.025287,0.071084
1760625103.800915,0.486150,0.138340,0.459352,0.693999,-0.716012,0.025287,0.071084
1760625103.867633,0.486165,0.138318,0.459353,0.693979,-0.716031,0.025287,0.071092
1760625103.867633,0.486165,0.138318,0.459353,0.693979,-0.716031,0.025287,0.071092
1760625103.934349,0.486156,0.138325,0.459353,0.693981,-0.716028,0.025286,0.071098
1760625103.934349,0.486156,0.138325,0.459353,0.693981,-0.716028,0.025286,0.071098
1760625104.001067,0.486177,0.138329,0.459336,0.693985,-0.716025,0.025270,0.071099
1760625104.001067,0.486177,0.138329,0.459336,0.693985,-0.716025,0.025270,0.071099
1760625104.067784,0.486170,0.138330,0.459326,0.693994,-0.716015,0.025263,0.071110
1760625104.067784,0.486170,0.138330,0.459326,0.693994,-0.716015,0.025263,0.071110
1760625104.134502,0.486163,0.138336,0.459325,0.693994,-0.716015,0.025253,0.071113
1760625104.134502,0.486163,0.138336,0.459325,0.693994,-0.716015,0.025253,0.071113
1760625104.201219,0.486167,0.138324,0.459354,0.693982,-0.716027,0.025279,0.071091
1760625104.201219,0.486167,0.138324,0.459354,0.693982,-0.716027,0.025279,0.071091
1760625104.267937,0.486164,0.138339,0.459324,0.694000,-0.716009,0.025255,0.071114
1760625104.267937,0.486164,0.138339,0.459324,0.694000,-0.716009,0.025255,0.071114
1760625104.334655,0.486168,0.138339,0.459319,0.694000,-0.716009,0.025252,0.071116
1760625104.334655,0.486168,0.138339,0.459319,0.694000,-0.716009,0.025252,0.071116
1760625104.401372,0.486169,0.138330,0.459325,0.693988,-0.716022,0.025252,0.071107
1760625104.401372,0.486169,0.138330,0.459325,0.693988,-0.716022,0.025252,0.071107
1760625104.468090,0.486171,0.138329,0.459324,0.693990,-0.716018,0.025255,0.071115
1760625104.468090,0.486171,0.138329,0.459324,0.693990,-0.716018,0.025255,0.071115
1760625104.534808,0.486169,0.138333,0.459318,0.693987,-0.716022,0.025244,0.071107
1760625104.534808,0.486169,0.138333,0.459318,0.693987,-0.716022,0.025244,0.071107
1760625104.601525,0.486171,0.138327,0.459327,0.693980,-0.716028,0.025258,0.071112
1760625104.601525,0.486171,0.138327,0.459327,0.693980,-0.716028,0.025258,0.071112
1760625104.668243,0.486171,0.138325,0.459339,0.693989,-0.716020,0.025266,0.071105
1760625104.668243,0.486171,0.138325,0.459339,0.693989,-0.716020,0.025266,0.071105
