track_id,X_x,X_y,X_z,mean_err,num_obs,used_obs
//1,0.4296827808781118,0.07866343026942538,0.20963852895077117,0.004933646349884234,32,32
2,0.4522299181734623,0.1308959720816541,0.04970542407380384,0.0016116719398565306,241,241
//7,0.4356354967598741,0.1306401490564354,0.3589708802624499,0.010793958459925144,9,9
10,0.469196406746833,0.029985746310672287,0.025559227824924823,0.0007329164411804425,198,198
//16,0.4858556267423105,0.138288652775983,0.4556353398360321,1.92318711909017e-06,3,3
26,0.4670897655646707,0.031005957712274948,0.016763481696517948,0.00020973701395751962,3,3
29,0.4735831085506385,0.025243216822443605,0.042567440533830325,8.18398003861245e-05,3,3
